N, s, D, AD
5,2,1,1.
6,2,2,1.2
7,2,2,1.33333
7,3,2,1.33333
8,2,2,1.42857
8,3,2,1.42857
9,2,2,1.5
9,3,2,1.5
9,4,2,1.5
10,4,2,1.55556
11,3,2,1.6
11,4,2,1.6
13,5,2,1.66667
14,4,3,1.76923
15,4,3,1.85714
15,6,3,1.85714
16,6,3,1.93333
17,4,3,2.
17,5,3,2.
17,7,3,2.
18,4,3,2.05882
18,5,3,2.05882
18,7,3,2.05882
19,4,3,2.11111
19,5,3,2.11111
19,7,3,2.11111
19,8,3,2.11111
20,8,3,2.15789
21,6,3,2.2
21,8,3,2.2
22,6,3,2.2381
23,5,3,2.27273
23,9,3,2.27273
25,7,3,2.33333
26,10,4,2.4
27,6,4,2.46154
28,6,4,2.51852
28,8,4,2.51852
29,8,4,2.57143
29,11,4,2.57143
29,12,4,2.57143
31,7,4,2.66667
31,9,4,2.66667
31,12,4,2.66667
31,13,4,2.66667
32,7,4,2.70968
32,9,4,2.70968
32,12,4,2.70968
33,6,4,2.75
33,7,4,2.75
33,9,4,2.75
33,14,4,2.75
34,6,4,2.78788
35,10,4,2.82353
36,8,4,2.85714
36,10,4,2.85714
37,8,4,2.88889
37,14,4,2.88889
38,16,4,2.91892
39,7,4,2.94737
39,11,4,2.94737
41,9,4,3.
42,16,5,3.04878
43,12,5,3.09524
43,18,5,3.09524
44,8,5,3.13953
45,8,5,3.18182
45,10,5,3.18182
45,17,5,3.18182
45,19,5,3.18182
46,10,5,3.22222
47,13,5,3.26087
47,18,5,3.26087
48,20,5,3.29787
49,9,5,3.33333
49,11,5,3.33333
50,9,5,3.36735
50,11,5,3.36735
50,14,5,3.36735
50,19,5,3.36735
50,21,5,3.36735
51,9,5,3.4
51,11,5,3.4
51,14,5,3.4
52,8,5,3.43137
52,22,5,3.43137
53,8,5,3.46154
53,20,5,3.46154
54,12,5,3.49057
55,10,5,3.51852
55,12,5,3.51852
55,21,5,3.51852
55,23,5,3.51852
56,10,5,3.54545
57,24,5,3.57143
58,22,5,3.59649
59,9,5,3.62069
59,13,5,3.62069
61,11,5,3.66667
62,26,6,3.70492
63,24,6,3.74194
64,14,6,3.77778
65,10,6,3.8125
65,18,6,3.8125
66,10,6,3.84615
66,12,6,3.84615
67,12,6,3.87879
67,28,6,3.87879
68,26,6,3.91045
69,15,6,3.94118
69,19,6,3.94118
69,29,6,3.94118
71,11,6,4.
71,13,6,4.
71,21,6,4.
71,27,6,4.
72,11,6,4.02817
72,13,6,4.02817
72,30,6,4.02817
73,11,6,4.05556
73,13,6,4.05556
73,16,6,4.05556
73,20,6,4.05556
73,28,6,4.05556
73,32,6,4.05556
74,22,6,4.08219
75,10,6,4.10811
75,33,6,4.10811
76,10,6,4.13333
77,14,6,4.15789
78,12,6,4.18182
78,14,6,4.18182
79,12,6,4.20513
79,33,6,4.20513
80,22,6,4.22785
81,24,6,4.25
82,36,6,4.2716
83,11,6,4.29268
83,15,6,4.29268
85,13,6,4.33333
86,36,7,4.36471
87,24,7,4.39535
88,26,7,4.42529
89,16,7,4.45455
89,34,7,4.45455
89,39,7,4.45455
90,12,7,4.48315
91,12,7,4.51111
91,14,7,4.51111
91,25,7,4.51111
91,27,7,4.51111
91,38,7,4.51111
91,40,7,4.51111
92,14,7,4.53846
93,39,7,4.56522
94,26,7,4.5914
94,36,7,4.5914
95,17,7,4.61702
95,28,7,4.61702
96,42,7,4.64211
97,13,7,4.66667
97,15,7,4.66667
98,13,7,4.69072
98,15,7,4.69072
98,27,7,4.69072
98,29,7,4.69072
98,36,7,4.69072
98,41,7,4.69072
98,43,7,4.69072
99,13,7,4.71429
99,15,7,4.71429
99,38,7,4.71429
100,18,7,4.73737
100,44,7,4.73737
101,30,7,4.76
101,37,7,4.76
102,12,7,4.78218
102,28,7,4.78218
103,12,7,4.80392
103,43,7,4.80392
104,16,7,4.82524
105,14,7,4.84615
105,16,7,4.84615
105,29,7,4.84615
105,31,7,4.84615
105,44,7,4.84615
105,46,7,4.84615
106,14,7,4.86667
107,41,7,4.88679
107,47,7,4.88679
108,32,7,4.90654
109,30,7,4.92593
109,40,7,4.92593
110,46,7,4.94495
111,13,7,4.96364
111,17,7,4.96364
113,15,7,5.
114,50,8,5.02655
115,34,8,5.05263
115,44,8,5.05263
116,32,8,5.07826
117,43,8,5.10345
117,49,8,5.10345
118,18,8,5.12821
119,14,8,5.15254
120,14,8,5.17647
120,16,8,5.17647
120,44,8,5.17647
120,46,8,5.17647
121,16,8,5.2
121,53,8,5.2
122,36,8,5.22314
123,34,8,5.2459
123,47,8,5.2459
123,54,8,5.2459
124,52,8,5.26829
125,19,8,5.29032
125,27,8,5.29032
125,37,8,5.29032
125,46,8,5.29032
127,15,8,5.33333
127,17,8,5.33333
127,29,8,5.33333
127,35,8,5.33333
128,15,8,5.35433
128,17,8,5.35433
128,47,8,5.35433
128,49,8,5.35433
128,56,8,5.35433
129,15,8,5.375
129,17,8,5.375
129,38,8,5.375
129,54,8,5.375
130,28,8,5.39535
131,20,8,5.41538
131,30,8,5.41538
131,48,8,5.41538
131,59,8,5.41538
133,14,8,5.45455
133,51,8,5.45455
133,60,8,5.45455
134,14,8,5.47368
135,18,8,5.49254
136,16,8,5.51111
136,18,8,5.51111
136,50,8,5.51111
136,52,8,5.51111
137,16,8,5.52941
137,60,8,5.52941
139,30,8,5.56522
139,51,8,5.56522
140,32,8,5.58273
141,54,8,5.6
142,64,8,5.61702
143,15,8,5.6338
143,19,8,5.6338
145,17,8,5.66667
146,64,9,5.68966
147,54,9,5.71233
148,32,9,5.73469
149,34,9,5.75676
149,44,9,5.75676
149,57,9,5.75676
151,20,9,5.8
151,68,9,5.8
152,16,9,5.82119
153,16,9,5.84211
153,18,9,5.84211
153,33,9,5.84211
153,35,9,5.84211
153,67,9,5.84211
153,69,9,5.84211
154,18,9,5.86275
155,57,9,5.88312
155,68,9,5.88312
156,46,9,5.90323
157,34,9,5.92308
157,60,9,5.92308
158,36,9,5.94268
158,58,9,5.94268
159,21,9,5.96203
160,72,9,5.98113
161,17,9,6.
161,19,9,6.
162,17,9,6.01863
162,19,9,6.01863
162,35,9,6.01863
162,37,9,6.01863
162,62,9,6.01863
162,71,9,6.01863
162,73,9,6.01863
163,17,9,6.03704
