"dm, P, ""N(d), s(d)"""
"8,2,""{2*d^2, -d + d^2}"""
"8,2,""{-4 + 2*d^2, -4 - d + d^2}"""
"8,2,""{2 - 2*d + 2*d^2, 2 - 2*d + d^2}"""
"8,2,""{-3 - d + 2*d^2, -3 - (3*d)/2 + d^2}"""
"8,2,""{1 - d + 2*d^2, 1 - (3*d)/2 + d^2}"""
"8,2,""{3 - d + 2*d^2, 2 - (3*d)/2 + d^2}"""
"8,2,""{-7 + d + 2*d^2, -6 - d/2 + d^2}"""
"8,2,""{-5 + d + 2*d^2, -1 - d/2 + d^2}"""
"8,2,""{-3 + d + 2*d^2, -1/2*d + d^2}"""
"8,2,""{1 + d + 2*d^2, -1/2*d + d^2}"""
"8,2,""{-2 + 2*d + 2*d^2, d^2}"""
"9,2,""{2*d^2, -1 + 8*d}"""
"9,2,""{2*d^2, 1 + 8*d}"""
"9,2,""{2*d^2, -1 - d + d^2}"""
"9,2,""{2*d^2, 1 - d + d^2}"""
"9,2,""{-2 + 2*d^2, -d + d^2}"""
"9,2,""{2 + 2*d^2, 2 - d + d^2}"""
"9,2,""{2 - 2*d + 2*d^2, 1 - 2*d + d^2}"""
"9,2,""{-2 - d + 2*d^2, 1/2 - (3*d)/2 + d^2}"""
"9,2,""{-d + 2*d^2, -3 + 8*d}"""
"9,2,""{-d + 2*d^2, -1/2 - (3*d)/2 + d^2}"""
"9,2,""{-d + 2*d^2, 3/2 - (3*d)/2 + d^2}"""
"9,2,""{2 - d + 2*d^2, 1/2 - (3*d)/2 + d^2}"""
"9,2,""{-2 + d + 2*d^2, -5/2 - d/2 + d^2}"""
"9,2,""{d + 2*d^2, 3 + 8*d}"""
"9,2,""{d + 2*d^2, -3/2 - d/2 + d^2}"""
"9,2,""{d + 2*d^2, 1/2 - d/2 + d^2}"""
"9,2,""{2 + d + 2*d^2, 3/2 - d/2 + d^2}"""
"9,2,""{-2 + 2*d + 2*d^2, -3 + d^2}"""
"12,3,""{-5 + 2*d^2, (2*d)/3 + (2*d^2)/3}"""
"12,3,""{1 + 2*d^2, (-2*d)/3 + (2*d^2)/3}"""
"12,3,""{1 + 2*d^2, (2*d)/3 + (2*d^2)/3}"""
"12,3,""{3 - 2*d + 2*d^2, (2*d^2)/3}"""
"12,3,""{5 - 2*d + 2*d^2, 2 - (4*d)/3 + (2*d^2)/3}"""
"12,3,""{-4 - d + 2*d^2, d/3 + (2*d^2)/3}"""
"12,3,""{2 - d + 2*d^2, d/3 + (2*d^2)/3}"""
"12,3,""{3 - d + 2*d^2, 1 - d + (2*d^2)/3}"""
"12,3,""{5 - d + 2*d^2, 1 + d/3 + (2*d^2)/3}"""
"12,3,""{-9 + d + 2*d^2, -1 + d + (2*d^2)/3}"""
"12,3,""{-7 + d + 2*d^2, -1 - d/3 + (2*d^2)/3}"""
"12,3,""{-4 + d + 2*d^2, -1/3*d + (2*d^2)/3}"""
"12,3,""{2 + d + 2*d^2, -1/3*d + (2*d^2)/3}"""
"12,3,""{-3 + 2*d + 2*d^2, (2*d^2)/3}"""
"13,3,""{2*d^2, -1 - (2*d)/3 + (2*d^2)/3}"""
"13,3,""{2*d^2, 1 - (2*d)/3 + (2*d^2)/3}"""
"13,3,""{2*d^2, -1 + (10*d)/3 + (2*d^2)/3}"""
"13,3,""{2*d^2, 1 + (10*d)/3 + (2*d^2)/3}"""
"13,3,""{-3 + 2*d^2, (-2*d)/3 + (2*d^2)/3}"""
"13,3,""{1 + 2*d^2, 2/3 + (2*d)/3 + (2*d^2)/3}"""
"13,3,""{3 + 2*d^2, 2 - (2*d)/3 + (2*d^2)/3}"""
"13,3,""{3 - 2*d + 2*d^2, 2/3 - (4*d)/3 + (2*d^2)/3}"""
"13,3,""{5 - 2*d + 2*d^2, 4/3 + (2*d^2)/3}"""
"13,3,""{-3 - d + 2*d^2, 1/3 - d + (2*d^2)/3}"""
"13,3,""{-d + 2*d^2, -2/3 - d + (2*d^2)/3}"""
"13,3,""{-d + 2*d^2, 4/3 - d + (2*d^2)/3}"""
"13,3,""{-d + 2*d^2, -8/3 + 3*d + (2*d^2)/3}"""
"13,3,""{-d + 2*d^2, -2/3 + 3*d + (2*d^2)/3}"""
"13,3,""{3 - d + 2*d^2, 1/3 - d + (2*d^2)/3}"""
"13,3,""{3 - d + 2*d^2, 1 + d/3 + (2*d^2)/3}"""
"13,3,""{-7 + d + 2*d^2, -11/3 + d + (2*d^2)/3}"""
"13,3,""{-4 + d + 2*d^2, -8/3 + d + (2*d^2)/3}"""
"13,3,""{-3 + d + 2*d^2, -7/3 - d/3 + (2*d^2)/3}"""
"13,3,""{d + 2*d^2, -4/3 - d/3 + (2*d^2)/3}"""
"13,3,""{d + 2*d^2, 2/3 - d/3 + (2*d^2)/3}"""
"13,3,""{d + 2*d^2, 2/3 + (11*d)/3 + (2*d^2)/3}"""
"13,3,""{2 + d + 2*d^2, 4/3 + d + (2*d^2)/3}"""
"13,3,""{3 + d + 2*d^2, 5/3 - d/3 + (2*d^2)/3}"""
"13,3,""{-3 + 2*d + 2*d^2, -8/3 + (2*d^2)/3}"""
"13,3,""{-3 + 2*d + 2*d^2, -2 + (4*d)/3 + (2*d^2)/3}"""
"14,3,""{2*d^2, -1 - (10*d)/3 + (2*d^2)/3}"""
"14,3,""{2*d^2, 1 - (10*d)/3 + (2*d^2)/3}"""
"14,3,""{2*d^2, -1 + (2*d)/3 + (2*d^2)/3}"""
"14,3,""{2*d^2, 1 + (2*d)/3 + (2*d^2)/3}"""
"14,3,""{-5 + 2*d^2, -10/3 - (2*d)/3 + (2*d^2)/3}"""
"14,3,""{-3 + 2*d^2, -2 + (2*d)/3 + (2*d^2)/3}"""
"14,3,""{1 + 2*d^2, 2/3 - (2*d)/3 + (2*d^2)/3}"""
"14,3,""{3 + 2*d^2, (2*d)/3 + (2*d^2)/3}"""
"14,3,""{3 - 2*d + 2*d^2, 4/3 + (2*d^2)/3}"""
"14,3,""{3 - 2*d + 2*d^2, 2 - (4*d)/3 + (2*d^2)/3}"""
"14,3,""{-4 - d + 2*d^2, -8/3 - d + (2*d^2)/3}"""
"14,3,""{-3 - d + 2*d^2, -7/3 + d/3 + (2*d^2)/3}"""
"14,3,""{-d + 2*d^2, 2/3 - (11*d)/3 + (2*d^2)/3}"""
"14,3,""{-d + 2*d^2, 8/3 - (11*d)/3 + (2*d^2)/3}"""
"14,3,""{-d + 2*d^2, -4/3 + d/3 + (2*d^2)/3}"""
"14,3,""{-d + 2*d^2, 2/3 + d/3 + (2*d^2)/3}"""
"14,3,""{2 - d + 2*d^2, 4/3 - d + (2*d^2)/3}"""
"14,3,""{3 - d + 2*d^2, 5/3 + d/3 + (2*d^2)/3}"""
"14,3,""{5 - d + 2*d^2, 7/3 - d + (2*d^2)/3}"""
"14,3,""{-9 + d + 2*d^2, -5 - d/3 + (2*d^2)/3}"""
"14,3,""{-3 + d + 2*d^2, 1/3 + d + (2*d^2)/3}"""
"14,3,""{d + 2*d^2, -8/3 - 3*d + (2*d^2)/3}"""
"14,3,""{d + 2*d^2, -2/3 - 3*d + (2*d^2)/3}"""
"14,3,""{d + 2*d^2, -2/3 + d + (2*d^2)/3}"""
"14,3,""{d + 2*d^2, 4/3 + d + (2*d^2)/3}"""
"14,3,""{3 + d + 2*d^2, 1/3 + d + (2*d^2)/3}"""
"14,3,""{-3 + 2*d + 2*d^2, 2/3 + (4*d)/3 + (2*d^2)/3}"""
"16,4,""{2*d^2, -1 + 14*d}"""
"16,4,""{2*d^2, 1 + 14*d}"""
"16,4,""{2*d^2, -1 - 2*d + d^2}"""
"16,4,""{2*d^2, 1 - 2*d + d^2}"""
"16,4,""{2*d^2, -d + d^2}"""
"16,4,""{-6 + 2*d^2, d/2 + d^2/2}"""
"16,4,""{-4 + 2*d^2, -4 - d + d^2}"""
"16,4,""{2 + 2*d^2, -1/2*d + d^2/2}"""
"16,4,""{2 - 2*d + 2*d^2, 2 - 2*d + d^2}"""
"16,4,""{4 - 2*d + 2*d^2, d^2/2}"""
"16,4,""{-1 - (3*d)/2 + 2*d^2, 2 - (11*d)/4 + d^2}"""
"16,4,""{1 - (3*d)/2 + 2*d^2, 1 - (11*d)/4 + d^2}"""
"16,4,""{-3 - d + 2*d^2, -3 - (3*d)/2 + d^2}"""
"16,4,""{-d + 2*d^2, -6 + 14*d}"""
"16,4,""{-d + 2*d^2, (-5*d)/2 + d^2}"""
"16,4,""{-d + 2*d^2, 2 - (5*d)/2 + d^2}"""
"16,4,""{1 - d + 2*d^2, 1 - (3*d)/2 + d^2}"""
"16,4,""{3 - d + 2*d^2, d/4 + d^2/2}"""
"16,4,""{3 - d + 2*d^2, 2 - (3*d)/2 + d^2}"""
"16,4,""{5 - d + 2*d^2, 1 - (3*d)/4 + d^2/2}"""
"16,4,""{7 - d + 2*d^2, 1 + d/4 + d^2/2}"""
"16,4,""{-1 - d/2 + 2*d^2, 1 - (9*d)/4 + d^2}"""
"16,4,""{1 - d/2 + 2*d^2, (-9*d)/4 + d^2}"""
"16,4,""{-1 + d/2 + 2*d^2, -2 - (7*d)/4 + d^2}"""
"16,4,""{1 + d/2 + 2*d^2, 1 - (7*d)/4 + d^2}"""
