 N; lb; diam; s
10;2;2;4
11;2;2;3
11;2;2;4
12;2;3;3
12;2;3;4
12;2;3;5
13;2;2;5
14;3;3;3
14;3;3;4
14;3;3;5
14;3;3;6
15;3;3;3
15;3;3;4
15;3;3;5
15;3;3;6
16;3;3;4
16;3;3;6
17;3;3;3
17;3;3;4
17;3;3;5
17;3;3;6
17;3;3;7
18;3;3;4
18;3;3;5
18;3;3;7
19;3;3;4
19;3;3;5
19;3;3;7
19;3;3;8
20;3;3;8
21;3;3;6
21;3;3;8
22;3;3;6
23;3;3;5
23;3;3;9
24;3;4;4
24;3;4;5
24;3;4;6
24;3;4;7
24;3;4;9
24;3;4;10
25;3;3;7
26;4;4;4
26;4;4;6
26;4;4;7
26;4;4;10
26;4;4;11
27;4;4;4
27;4;4;5
27;4;4;6
27;4;4;7
27;4;4;8
27;4;4;10
27;4;4;11
28;4;4;5
28;4;4;6
28;4;4;8
28;4;4;11
28;4;4;12
29;4;4;5
29;4;4;6
29;4;4;8
29;4;4;11
29;4;4;12
30;4;4;8
30;4;4;12
31;4;4;7
31;4;4;9
31;4;4;12
31;4;4;13
32;4;4;7
32;4;4;9
32;4;4;12
33;4;4;5
33;4;4;6
33;4;4;7
33;4;4;9
33;4;4;13
33;4;4;14
34;4;4;6
35;4;4;10
36;4;4;8
36;4;4;10
37;4;4;8
37;4;4;14
38;4;4;16
39;4;4;7
39;4;4;11
40;4;5;6
40;4;5;7
40;4;5;9
40;4;5;11
40;4;5;12
40;4;5;15
40;4;5;16
40;4;5;17
41;4;4;9
42;5;5;9
42;5;5;12
42;5;5;16
42;5;5;18
43;5;5;5
43;5;5;8
43;5;5;9
43;5;5;12
43;5;5;16
43;5;5;17
43;5;5;18
43;5;5;19
44;5;5;8
44;5;5;10
44;5;5;12
45;5;5;6
45;5;5;7
45;5;5;8
45;5;5;10
45;5;5;13
45;5;5;17
45;5;5;19
46;5;5;6
46;5;5;7
46;5;5;8
46;5;5;10
46;5;5;13
47;5;5;7
47;5;5;10
47;5;5;13
47;5;5;14
47;5;5;18
47;5;5;20
48;5;5;18
48;5;5;20
49;5;5;9
49;5;5;11
49;5;5;14
50;5;5;9
50;5;5;11
50;5;5;14
50;5;5;19
50;5;5;21
50;5;5;22
51;5;5;9
51;5;5;11
51;5;5;14
52;5;5;8
52;5;5;22
53;5;5;7
53;5;5;8
53;5;5;15
53;5;5;20
54;5;5;12
55;5;5;10
55;5;5;12
55;5;5;21
55;5;5;23
56;5;5;10
57;5;5;24
58;5;5;22
59;5;5;9
59;5;5;13
60;5;6;7
60;5;6;8
60;5;6;9
60;5;6;11
60;5;6;13
60;5;6;17
60;5;6;18
60;5;6;22
60;5;6;23
60;5;6;25
61;5;5;11
62;6;6;8
62;6;6;11
62;6;6;14
62;6;6;17
62;6;6;26
62;6;6;28
63;6;6;11
63;6;6;14
63;6;6;18
63;6;6;23
63;6;6;24
64;6;6;10
64;6;6;14
64;6;6;18
64;6;6;19
64;6;6;24
64;6;6;27
64;6;6;28
65;6;6;10
65;6;6;12
65;6;6;14
65;6;6;18
65;6;6;25
65;6;6;27
66;6;6;10
66;6;6;12
66;6;6;18
66;6;6;25
66;6;6;28
66;6;6;29
67;6;6;7
67;6;6;9
67;6;6;10
67;6;6;12
67;6;6;15
67;6;6;19
67;6;6;20
67;6;6;28
68;6;6;8
68;6;6;9
68;6;6;12
68;6;6;15
68;6;6;26
68;6;6;30
69;6;6;8
69;6;6;9
69;6;6;15
69;6;6;19
69;6;6;26
69;6;6;29
70;6;7;6
70;6;7;8
70;6;7;9
70;6;7;11
70;6;7;12
70;6;7;13
70;6;7;15
70;6;7;16
70;6;7;19
70;6;7;20
70;6;7;21
70;6;7;26
70;6;7;27
70;6;7;29
70;6;7;30
70;6;7;31
71;6;6;11
71;6;6;13
71;6;6;21
71;6;6;26
71;6;6;27
71;6;6;30
72;6;6;11
72;6;6;13
72;6;6;16
72;6;6;30
73;6;6;11
73;6;6;13
73;6;6;16
73;6;6;20
73;6;6;28
73;6;6;32
74;6;6;22
74;6;6;28
75;6;6;10
75;6;6;33
76;6;6;10
77;6;6;9
77;6;6;14
77;6;6;17
78;6;6;12
78;6;6;14
79;6;6;12
79;6;6;33
80;6;6;22
81;6;6;24
82;6;6;36
83;6;6;11
83;6;6;15
84;6;7;8
84;6;7;10
84;6;7;11
84;6;7;13
84;6;7;15
84;6;7;18
84;6;7;23
84;6;7;25
84;6;7;32
84;6;7;35
84;6;7;37
84;6;7;38
85;6;6;13
86;7;7;9
86;7;7;10
86;7;7;13
86;7;7;19
86;7;7;33
86;7;7;36
86;7;7;38
87;7;7;9
87;7;7;10
87;7;7;13
87;7;7;16
87;7;7;19
87;7;7;20
87;7;7;24
87;7;7;26
87;7;7;32
87;7;7;33
87;7;7;38
88;7;7;16
88;7;7;24
88;7;7;26
89;7;7;12
89;7;7;16
89;7;7;34
89;7;7;37
89;7;7;39
90;7;7;12
90;7;7;14
90;7;7;16
90;7;7;20
90;7;7;33
90;7;7;34
91;7;7;12
91;7;7;14
91;7;7;20
91;7;7;25
91;7;7;27
91;7;7;35
91;7;7;38
91;7;7;40
91;7;7;41
92;7;7;12
92;7;7;14
93;7;7;11
93;7;7;14
93;7;7;17
93;7;7;20
93;7;7;34
93;7;7;39
93;7;7;41
93;7;7;42
94;7;7;11
94;7;7;17
94;7;7;26
94;7;7;28
94;7;7;36
95;7;7;9
95;7;7;10
95;7;7;11
95;7;7;17
95;7;7;21
95;7;7;26
95;7;7;28
96;7;7;10
96;7;7;22
96;7;7;40
96;7;7;42
97;7;7;13
97;7;7;15
98;7;7;13
98;7;7;15
98;7;7;27
98;7;7;29
98;7;7;36
98;7;7;41
98;7;7;43
99;7;7;13
99;7;7;15
99;7;7;18
99;7;7;38
100;7;7;18
100;7;7;44
101;7;7;30
101;7;7;37
102;7;7;12
102;7;7;28
102;7;7;46
103;7;7;12
103;7;7;43
104;7;7;16
105;7;7;11
105;7;7;14
105;7;7;16
105;7;7;19
105;7;7;29
105;7;7;31
105;7;7;44
105;7;7;46
106;7;7;14
107;7;7;41
107;7;7;47
108;7;7;32
109;7;7;30
109;7;7;40
110;7;7;46
111;7;7;13
111;7;7;17
112;7;8;13
112;7;8;15
112;7;8;17
112;7;8;20
112;7;8;24
112;7;8;30
112;7;8;31
112;7;8;33
112;7;8;41
112;7;8;43
112;7;8;47
112;7;8;49
113;7;7;15
114;8;8;12
114;8;8;15
114;8;8;26
114;8;8;34
114;8;8;42
114;8;8;50
115;8;8;10
115;8;8;11
115;8;8;12
115;8;8;15
115;8;8;21
115;8;8;34
115;8;8;42
115;8;8;44
115;8;8;48
115;8;8;52
116;8;8;10
116;8;8;11
116;8;8;12
116;8;8;18
116;8;8;21
116;8;8;25
116;8;8;32
116;8;8;51
117;8;8;11
117;8;8;18
117;8;8;21
117;8;8;32
117;8;8;42
117;8;8;43
117;8;8;45
117;8;8;49
118;8;8;14
118;8;8;18
118;8;8;27
118;8;8;35
118;8;8;36
118;8;8;52
119;8;8;14
119;8;8;16
119;8;8;18
119;8;8;33
119;8;8;35
119;8;8;50
119;8;8;52
120;8;8;14
120;8;8;16
120;8;8;33
120;8;8;44
120;8;8;46
120;8;8;50
120;8;8;54
121;8;8;14
121;8;8;16
121;8;8;22
121;8;8;26
121;8;8;36
121;8;8;37
121;8;8;53
122;8;8;16
122;8;8;22
122;8;8;28
122;8;8;36
122;8;8;51
122;8;8;55
122;8;8;56
123;8;8;13
123;8;8;19
123;8;8;34
123;8;8;45
123;8;8;47
123;8;8;54
124;8;8;13
124;8;8;19
124;8;8;34
124;8;8;52
124;8;8;56
125;8;8;13
125;8;8;19
125;8;8;27
125;8;8;37
125;8;8;46
125;8;8;48
125;8;8;55
126;8;8;12
127;8;8;11
127;8;8;12
127;8;8;15
127;8;8;17
127;8;8;23
127;8;8;29
127;8;8;35
127;8;8;53
128;8;8;15
128;8;8;17
128;8;8;38
128;8;8;47
128;8;8;49
128;8;8;56
129;8;8;15
129;8;8;17
129;8;8;38
129;8;8;54
130;8;8;20
130;8;8;28
131;8;8;20
131;8;8;30
131;8;8;36
131;8;8;40
131;8;8;48
131;8;8;59
132;8;9;14
132;8;9;20
132;8;9;24
132;8;9;30
132;8;9;36
132;8;9;39
132;8;9;55
132;8;9;58
133;8;8;14
133;8;8;51
133;8;8;60
134;8;8;14
134;8;8;56
135;8;8;18
136;8;8;16
136;8;8;18
136;8;8;50
136;8;8;52
137;8;8;13
137;8;8;16
137;8;8;21
137;8;8;60
138;8;9;11
138;8;9;12
138;8;9;13
138;8;9;16
138;8;9;18
138;8;9;21
138;8;9;25
138;8;9;37
138;8;9;38
138;8;9;41
138;8;9;42
138;8;9;53
138;8;9;58
138;8;9;62
139;8;8;30
139;8;8;51
140;8;8;32
141;8;8;54
142;8;8;64
143;8;8;15
143;8;8;19
144;8;9;15
144;8;9;17
144;8;9;19
144;8;9;22
144;8;9;26
144;8;9;31
144;8;9;33
144;8;9;40
144;8;9;44
144;8;9;53
144;8;9;55
144;8;9;60
144;8;9;63
144;8;9;65
144;8;9;66
145;8;8;17
146;9;9;14
146;9;9;17
146;9;9;40
146;9;9;43
146;9;9;56
146;9;9;61
146;9;9;64
146;9;9;66
146;9;9;67
147;9;9;14
147;9;9;17
147;9;9;26
147;9;9;45
147;9;9;54
148;9;9;14
148;9;9;32
148;9;9;34
148;9;9;44
148;9;9;62
148;9;9;68
149;9;9;11
149;9;9;13
149;9;9;14
149;9;9;20
149;9;9;23
149;9;9;27
149;9;9;32
149;9;9;34
149;9;9;40
149;9;9;41
149;9;9;44
149;9;9;57
149;9;9;67
150;9;9;12
150;9;9;13
150;9;9;20
150;9;9;23
150;9;9;28
150;9;9;55
151;9;9;12
151;9;9;13
151;9;9;16
151;9;9;20
151;9;9;23
151;9;9;46
151;9;9;58
151;9;9;63
151;9;9;66
151;9;9;68
152;9;9;16
152;9;9;18
152;9;9;20
152;9;9;56
152;9;9;58
153;9;9;16
153;9;9;18
153;9;9;33
153;9;9;35
153;9;9;41
153;9;9;42
153;9;9;45
153;9;9;55
153;9;9;56
153;9;9;64
153;9;9;67
153;9;9;69
154;9;9;16
154;9;9;18
154;9;9;47
154;9;9;59
155;9;9;18
155;9;9;43
155;9;9;57
155;9;9;68
155;9;9;70
156;9;9;24
156;9;9;46
156;9;9;56
157;9;9;15
157;9;9;21
157;9;9;24
157;9;9;34
157;9;9;36
157;9;9;48
157;9;9;60
157;9;9;72
158;9;9;15
158;9;9;21
158;9;9;28
158;9;9;34
158;9;9;36
158;9;9;58
158;9;9;66
159;9;9;15
159;9;9;21
159;9;9;61
159;9;9;73
160;9;9;70
160;9;9;72
161;9;9;14
161;9;9;17
161;9;9;19
161;9;9;30
161;9;9;59
162;9;9;14
162;9;9;17
162;9;9;19
162;9;9;35
162;9;9;37
162;9;9;62
162;9;9;71
162;9;9;73
163;9;9;13
163;9;9;17
163;9;9;19
163;9;9;25
163;9;9;48
163;9;9;60
164;9;9;44
164;9;9;50
164;9;9;74
165;9;9;22
166;9;9;22
166;9;9;38
167;9;9;36
167;9;9;51
167;9;9;60
167;9;9;64
168;9;9;16
169;9;9;16
169;9;9;74
170;9;9;20
170;9;9;78
171;9;9;18
171;9;9;20
171;9;9;37
171;9;9;39
171;9;9;75
171;9;9;77
172;9;9;18
173;9;9;15
173;9;9;23
173;9;9;51
173;9;9;78
174;9;10;12
174;9;10;14
174;9;10;15
174;9;10;18
174;9;10;23
174;9;10;40
174;9;10;53
174;9;10;64
174;9;10;76
174;9;10;80
175;9;9;40
176;9;9;38
177;9;9;54
178;9;9;78
179;9;9;17
179;9;9;21
180;9;10;17
180;9;10;19
180;9;10;21
180;9;10;24
180;9;10;32
180;9;10;39
180;9;10;41
180;9;10;50
180;9;10;53
180;9;10;55
180;9;10;56
180;9;10;66
180;9;10;69
180;9;10;79
180;9;10;81
181;9;9;19
182;10;10;19
182;10;10;24
182;10;10;28
182;10;10;34
182;10;10;67
182;10;10;76
182;10;10;82
183;10;10;16
183;10;10;19
183;10;10;28
183;10;10;34
183;10;10;42
183;10;10;49
183;10;10;54
183;10;10;56
183;10;10;67
183;10;10;70
183;10;10;71
183;10;10;77
